site,recording,start_s,end_s,scientific_name,common_name,confidence
14_01,20200624_062500,15,18,Colaptes auratus,Northern Flicker,0.10308349
14_01,20200626_050500,18,21,Colaptes auratus,Northern Flicker,0.12101108
14_01,20200714_064000,9,12,Colaptes auratus,Northern Flicker,0.11184773
14_01,20200801_060500,30,33,Colaptes auratus,Northern Flicker,0.17138594
14_01,20200801_060500,33,36,Colaptes auratus,Northern Flicker,0.10478936
14_01,20200805_065000,6,9,Colaptes auratus,Northern Flicker,0.105659336
14_01,20200807_060000,0,3,Colaptes auratus,Northern Flicker,0.11003049
14_01,20200810_061000,15,18,Colaptes auratus,Northern Flicker,0.1458029
14_01,20200813_063000,30,33,Colaptes auratus,Northern Flicker,0.14816912
14_13,20200613_060500,15,18,Colaptes auratus,Northern Flicker,0.22038698
14_13,20200613_060500,18,21,Colaptes auratus,Northern Flicker,0.10613873
14_13,20200615_060000,21,24,Colaptes auratus,Northern Flicker,0.17039113
14_13,20200629_054000,48,51,Colaptes auratus,Northern Flicker,0.11834825
14_13,20200703_063000,15,18,Colaptes auratus,Northern Flicker,0.10106185
14_13,20200712_053000,36,39,Colaptes auratus,Northern Flicker,0.92410517
14_13,20200712_053000,42,45,Colaptes auratus,Northern Flicker,0.58307695
14_13,20200712_053000,45,48,Colaptes auratus,Northern Flicker,0.68932873
14_13,20200712_053000,48,51,Colaptes auratus,Northern Flicker,0.7918835
14_13,20200712_053000,51,54,Colaptes auratus,Northern Flicker,0.80687296
14_13,20200712_053000,54,57,Colaptes auratus,Northern Flicker,0.9061101
14_13,20200712_053000,57,60,Colaptes auratus,Northern Flicker,0.6829671
14_13,20200731_055500,36,39,Colaptes auratus,Northern Flicker,0.10336555
14_13,20200731_061000,6,9,Colaptes auratus,Northern Flicker,0.105663754
14_13,20200802_050000,57,60,Colaptes auratus,Northern Flicker,0.1575416
14_13,20200811_061000,48,51,Colaptes auratus,Northern Flicker,0.13026026
14_13,20200816_061000,12,15,Colaptes auratus,Northern Flicker,0.12833473
14_13,20200816_061000,18,21,Colaptes auratus,Northern Flicker,0.11371231
14_13,20200816_061000,24,27,Colaptes auratus,Northern Flicker,0.10264653
14_13,20200818_061000,33,36,Colaptes auratus,Northern Flicker,0.14359862
14_13,20200818_061000,39,42,Colaptes auratus,Northern Flicker,0.12062303
14_13,20200819_064000,54,57,Colaptes auratus,Northern Flicker,0.104121804
14_13,20200819_064500,36,39,Colaptes auratus,Northern Flicker,0.10901562
14_13,20200823_063500,33,36,Colaptes auratus,Northern Flicker,0.12516195
14_13,20200828_063000,12,15,Colaptes auratus,Northern Flicker,0.11217241
14_13,20200828_065500,54,57,Colaptes auratus,Northern Flicker,0.1401208
14_13,20200829_061000,15,18,Colaptes auratus,Northern Flicker,0.17932747
14_13,20200829_063500,57,60,Colaptes auratus,Northern Flicker,0.12945876
14_13,20200901_065500,12,15,Colaptes auratus,Northern Flicker,0.110469684
14_13,20200903_064000,6,9,Colaptes auratus,Northern Flicker,0.1177077
14_13,20200907_064000,48,51,Colaptes auratus,Northern Flicker,0.112747625
14_13,20200907_064000,54,57,Colaptes auratus,Northern Flicker,0.49462765
14_13,20200907_064000,57,60,Colaptes auratus,Northern Flicker,0.32769868
14_13,20200907_065500,6,9,Colaptes auratus,Northern Flicker,0.10542175
14_13,20200908_062500,6,9,Colaptes auratus,Northern Flicker,0.1063417
14_13,20200908_063500,0,3,Colaptes auratus,Northern Flicker,0.110812895
14_13,20200908_063500,39,42,Colaptes auratus,Northern Flicker,0.18843442
14_13,20200908_063500,51,54,Colaptes auratus,Northern Flicker,0.30375534
14_13,20200908_063500,57,60,Colaptes auratus,Northern Flicker,0.21209584
14_13,20200910_064500,6,9,Colaptes auratus,Northern Flicker,0.11197365
14_13,20200911_065000,12,15,Colaptes auratus,Northern Flicker,0.115381196
14_13,20200911_065500,21,24,Colaptes auratus,Northern Flicker,0.106689274
14_13,20200912_064000,15,18,Colaptes auratus,Northern Flicker,0.10040129
14_13,20200913_065500,12,15,Colaptes auratus,Northern Flicker,0.12305142
14_13,20200915_065500,0,3,Colaptes auratus,Northern Flicker,0.23157372
14_13,20200915_065500,24,27,Colaptes auratus,Northern Flicker,0.10242916
14_14,20200621_055000,0,3,Colaptes auratus,Northern Flicker,0.14542107
14_14,20200621_055000,3,6,Colaptes auratus,Northern Flicker,0.15687068
14_14,20200621_055000,24,27,Colaptes auratus,Northern Flicker,0.22779642
14_14,20200621_055000,57,60,Colaptes auratus,Northern Flicker,0.20699066
14_14,20200621_055500,51,54,Colaptes auratus,Northern Flicker,0.11916116
14_14,20200629_051500,27,30,Colaptes auratus,Northern Flicker,0.113886796
14_14,20200629_051500,33,36,Colaptes auratus,Northern Flicker,0.11385039
14_14,20200817_064500,21,24,Colaptes auratus,Northern Flicker,0.105561964
14_14,20200906_064500,21,24,Colaptes auratus,Northern Flicker,0.118211664
14_16,20200610_061000,21,24,Colaptes auratus,Northern Flicker,0.17797394
14_16,20200616_063000,21,24,Colaptes auratus,Northern Flicker,0.9589468
14_16,20200616_063000,39,42,Colaptes auratus,Northern Flicker,0.8898389
14_16,20200616_063000,42,45,Colaptes auratus,Northern Flicker,0.5638663
14_16,20200616_063000,45,48,Colaptes auratus,Northern Flicker,0.6635447
14_16,20200616_063000,48,51,Colaptes auratus,Northern Flicker,0.7512511
14_16,20200616_064000,21,24,Colaptes auratus,Northern Flicker,0.9593889
14_16,20200616_064000,24,27,Colaptes auratus,Northern Flicker,0.75705445
14_16,20200622_050500,12,15,Colaptes auratus,Northern Flicker,0.14761402
14_16,20200622_050500,27,30,Colaptes auratus,Northern Flicker,0.442948
14_16,20200622_050500,48,51,Colaptes auratus,Northern Flicker,0.2605195
14_16,20200622_050500,51,54,Colaptes auratus,Northern Flicker,0.59611696
14_16,20200622_063000,30,33,Colaptes auratus,Northern Flicker,0.78481257
14_16,20200626_055500,57,60,Colaptes auratus,Northern Flicker,0.24129045
14_16,20200626_062500,36,39,Colaptes auratus,Northern Flicker,0.36696413
14_16,20200628_053000,9,12,Colaptes auratus,Northern Flicker,0.25494412
14_16,20200628_053000,27,30,Colaptes auratus,Northern Flicker,0.8211083
14_16,20200628_053000,57,60,Colaptes auratus,Northern Flicker,0.49592835
14_16,20200629_062000,0,3,Colaptes auratus,Northern Flicker,0.6515751
14_16,20200629_062000,18,21,Colaptes auratus,Northern Flicker,0.43202266
14_16,20200629_062000,21,24,Colaptes auratus,Northern Flicker,0.8838498
14_16,20200702_065500,57,60,Colaptes auratus,Northern Flicker,0.2904336
14_16,20200704_054500,54,57,Colaptes auratus,Northern Flicker,0.6837123
14_16,20200708_055500,0,3,Colaptes auratus,Northern Flicker,0.12661903
14_16,20200708_055500,3,6,Colaptes auratus,Northern Flicker,0.49930507
14_16,20200708_055500,6,9,Colaptes auratus,Northern Flicker,0.22607744
14_16,20200708_055500,12,15,Colaptes auratus,Northern Flicker,0.32368705
14_16,20200708_055500,39,42,Colaptes auratus,Northern Flicker,0.36190596
14_16,20200708_055500,42,45,Colaptes auratus,Northern Flicker,0.23303266
14_16,20200708_055500,48,51,Colaptes auratus,Northern Flicker,0.7401657
14_16,20200708_055500,57,60,Colaptes auratus,Northern Flicker,0.46314406
14_16,20200709_065500,9,12,Colaptes auratus,Northern Flicker,0.7049964
14_16,20200709_065500,54,57,Colaptes auratus,Northern Flicker,0.5368361
14_16,20200709_065500,57,60,Colaptes auratus,Northern Flicker,0.38617814
14_16,20200715_055000,57,60,Colaptes auratus,Northern Flicker,0.1383718
14_16,20200719_055000,54,57,Colaptes auratus,Northern Flicker,0.9554676
14_16,20200719_055000,57,60,Colaptes auratus,Northern Flicker,0.98400927
14_16,20200719_055500,0,3,Colaptes auratus,Northern Flicker,0.13463128
14_16,20200719_055500,3,6,Colaptes auratus,Northern Flicker,0.2387589
14_16,20200719_060000,51,54,Colaptes auratus,Northern Flicker,0.15648803
14_16,20200720_064500,6,9,Colaptes auratus,Northern Flicker,0.33156577
14_16,20200720_064500,9,12,Colaptes auratus,Northern Flicker,0.44971192
14_16,20200720_064500,21,24,Colaptes auratus,Northern Flicker,0.33340648
14_16,20200720_064500,24,27,Colaptes auratus,Northern Flicker,0.665031
14_16,20200720_064500,27,30,Colaptes auratus,Northern Flicker,0.37950778
14_16,20200720_064500,42,45,Colaptes auratus,Northern Flicker,0.2978261
14_18,20200623_051000,24,27,Colaptes auratus,Northern Flicker,0.1845489
14_18,20200630_043500,42,45,Colaptes auratus,Northern Flicker,0.118132174
14_20,20200618_051500,3,6,Colaptes auratus,Northern Flicker,0.1741329
14_20,20200717_050000,51,54,Colaptes auratus,Northern Flicker,0.18962018
14_20,20200717_052000,27,30,Colaptes auratus,Northern Flicker,0.10933672
14_20,20200718_050000,30,33,Colaptes auratus,Northern Flicker,0.11377733
14_20,20200720_053000,51,54,Colaptes auratus,Northern Flicker,0.110124245
14_20,20200722_045500,27,30,Colaptes auratus,Northern Flicker,0.102895044
14_20,20200727_050000,3,6,Colaptes auratus,Northern Flicker,0.13971491
14_20,20200805_052000,3,6,Colaptes auratus,Northern Flicker,0.13948864
14_20,20200807_062000,33,36,Colaptes auratus,Northern Flicker,0.14413321
14_20,20200816_055500,36,39,Colaptes auratus,Northern Flicker,0.21815147
14_20,20200817_064500,33,36,Colaptes auratus,Northern Flicker,0.105608255
14_20,20200818_063500,30,33,Colaptes auratus,Northern Flicker,0.10723869
14_26,20200723_064500,0,3,Colaptes auratus,Northern Flicker,0.60042465
14_26,20200723_064500,3,6,Colaptes auratus,Northern Flicker,0.6684205
14_26,20200723_064500,6,9,Colaptes auratus,Northern Flicker,0.65712714
14_26,20200723_064500,9,12,Colaptes auratus,Northern Flicker,0.9107199
14_30,20200713_064000,48,51,Colaptes auratus,Northern Flicker,0.11090006
14_33,20200605_061500,12,15,Colaptes auratus,Northern Flicker,0.10351811
14_33,20200607_062000,24,27,Colaptes auratus,Northern Flicker,0.3640068
14_33,20200607_062000,27,30,Colaptes auratus,Northern Flicker,0.110999994
14_33,20200607_062000,36,39,Colaptes auratus,Northern Flicker,0.124636
14_33,20200607_062000,57,60,Colaptes auratus,Northern Flicker,0.10307772
14_33,20200608_065500,45,48,Colaptes auratus,Northern Flicker,0.13231197
14_33,20200609_060000,18,21,Colaptes auratus,Northern Flicker,0.102720015
14_33,20200609_060000,51,54,Colaptes auratus,Northern Flicker,0.105614804
14_33,20200611_055500,15,18,Colaptes auratus,Northern Flicker,0.124756426
14_33,20200613_065500,27,30,Colaptes auratus,Northern Flicker,0.123047836
14_33,20200616_055000,0,3,Colaptes auratus,Northern Flicker,0.10248619
14_33,20200616_055000,33,36,Colaptes auratus,Northern Flicker,0.12622102
14_33,20200616_061500,48,51,Colaptes auratus,Northern Flicker,0.10533338
14_33,20200619_055500,3,6,Colaptes auratus,Northern Flicker,0.212455
